race_id,race_name,horse_no,gate_no,horse_name,jockey_name,rank_in_race,signal,印,mark,recommendation,ability_score,win_prob,top3_prob,win_ev,win_odds
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,7,5,キリオス,松山,1,軸,軸,軸,軸,42.24606522667155,0.11123032613335772,0.5252577251876729,0.9454577721335407,8.5
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,6,4,ジュンドラドラ,団野,2,対抗,対抗,対抗,対抗,42.0731438621131,0.11036571931056552,0.5685549735207625,0.2317680105521876,2.1
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,13,8,ロックバンド,鮫島駿,3,穴,穴,穴,穴,41.65730444095368,0.1082865222047684,0.6075733974801498,4.114887843781199,38.0
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,3,3,ロードアマルフィ,吉村,4,連下,連下,連下,連下,40.1122866384651,0.10056143319232551,0.4592233074459623,0.6134247424731856,6.1
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,11,7,ワザオギ,西村淳,5,連下,連下,連下,連下,39.026500942323466,0.09513250471161733,0.4318725766979555,1.3603948173761278,14.3
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,12,7,アミラル,菱田,6,様子見,様子見,様子見,様子見,36.53607555830431,0.08268037779152156,0.3161166626848612,6.358121052168008,76.9
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,2,2,ブラックレジェンド,岩田望,7,様子見,様子見,様子見,様子見,35.67066187017072,0.0783533093508536,0.1770455246707746,0.8305450791190482,10.6
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,1,1,ルファーダ,幸,8,様子見,様子見,様子見,様子見,35.079950258826074,0.07539975129413037,0.3055875667268264,1.447675224847303,19.2
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,10,6,ケンタッキーホーム,田口,9,様子見,様子見,様子見,様子見,32.37055844886582,0.06185279224432913,0.20304078747335086,0.630898480892157,10.2
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,5,4,ロードヴェルテクス,高杉,10,様子見,様子見,様子見,様子見,29.154586627516984,0.04577293313758492,0.11244703477207688,4.760385046308832,104.0
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,14,8,ドメイン,松若,11,様子見,様子見,様子見,様子見,28.53915530486261,0.04269577652431304,0.17676689388068756,0.6532453808219896,15.3
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,9,6,ケイアイアマゾン,藤懸,12,様子見,様子見,様子見,様子見,27.89490443301516,0.0394745221650758,0.14975393527555408,0.6710668768062886,17.0
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,8,5,ダンジョンヒーロー,△田山,13,様子見,様子見,様子見,様子見,26.82146436023166,0.0341073218011583,0.16371881312375594,3.9769137220150577,116.6
20260425_KYOTO_07,3歳1勝クラス 【見送りC:大混戦】,4,3,キタノファーンヒル,酒井,14,様子見,様子見,様子見,様子見,22.81734202767977,0.014086710138398857,0.06181079153074403,3.107528256530788,220.6
20260425_KYOTO_08,あやめ賞 【狙い目A:本命】,5,5,ララファキュルテ,岩田望,1,軸,軸,軸,軸,60.90333316430093,0.20451666582150466,0.5803869998178509,1.1248416620182755,5.5
20260425_KYOTO_08,あやめ賞 【狙い目A:本命】,2,2,ブレットパス,西村淳,2,対抗,対抗,対抗,対抗,60.66087580519104,0.20330437902595522,0.3974843201340487,0.3049565685389328,1.5
20260425_KYOTO_08,あやめ賞 【狙い目A:本命】,4,4,ブラックシャリマー,吉村,3,穴,穴,穴,穴,55.74029890781396,0.1787014945390698,0.42568447612239596,1.3760015079508374,7.7
20260425_KYOTO_08,あやめ賞 【狙い目A:本命】,3,3,キシダンチョウ,高杉,4,連下,連下,連下,連下,52.66709060821054,0.1633354530410527,0.41587962682926527,0.8330108105093688,5.1
20260425_KYOTO_08,あやめ賞 【狙い目A:本命】,6,6,ジャストビート,鮫島駿,5,連下,連下,連下,連下,46.291995507991075,0.1314599775399554,0.23320521739505953,10.214440254854534,77.7
