race_id,race_date,venue,race_no,race_name,win_rank,gate_no,horse_no,horse_name,jockey_name,signal,confidence_label,ability_score,win_prob,top2_prob,top3_prob
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,12.0,9,9,アオイミモザ,浜中俊,様子見,D,31.09,0.0309,0.2339,0.2579
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,13.0,4,4,リアド,坂井瑠星,様子見,D,30.42,0.0299,0.2184,0.2412
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,14.0,7,7,トゥルブレンシア,団野大成,様子見,D,29.45,0.016,0.1282,0.1663
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,15.0,12,12,テーオーレガシー,森田誠也,様子見,D,27.29,0.0068,0.1004,0.1594
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,1.0,2,2,ジーティーマン,北村友一,軸,S,65.16,0.1836,0.83,0.83
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,2.0,10,10,ホウオウトランプ,ルメール,複勝圏,A,65.32,0.1751,0.8244,0.8448
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,3.0,9,9,フェアリーライク,武豊,能力注,B,62.83,0.1708,0.8092,0.8184
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,4.0,3,3,マイネルフルムーン,団野大成,様子見,C,48.7,0.1166,0.5877,0.6369
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,5.0,4,4,モアリジット,古川奈穂,様子見,D,44.58,0.1075,0.4963,0.5157
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,6.0,1,1,オメガインペリアル,坂井瑠星,様子見,D,46.06,0.1014,0.5214,0.577
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,7.0,5,5,ツーエムクロノス,酒井学,様子見,D,41.24,0.0828,0.4381,0.4797
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,8.0,7,7,ハイディージェン,鮫島克駿,様子見,D,30.74,0.0274,0.1421,0.1555
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,9.0,8,8,アスクエピソード,国分優作,様子見,D,32.51,0.0181,0.1438,0.2035
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,10.0,6,6,レッドバレンティア,岩田康誠,様子見,D,29.16,0.0085,0.1117,0.15
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,11.0,11,11,コスモスプモーニ,斎藤新,様子見,D,28.33,0.0083,0.0803,0.1108
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,1.0,2,2,マジッククッキー,川田将雅,軸,S,68.87,0.1534,0.8511,0.8573
